"","x"
"1","Acura"
"2","Alfa Romeo"
"3","Aston Martin"
"4","Audi"
"5","Bentley"
"6","BMW"
"7","BMW Alpina"
"8","Bugatti"
"9","Buick"
"10","Cadillac"
"11","Chevrolet"
"12","Chrysler"
"13","Daewoo"
"14","Dodge"
"15","Eagle"
"16","Ferrari"
"17","Fiat"
"18","Ford"
"19","Geo"
"20","GMC"
"21","Honda"
"22","Hummer"
"23","Hyundai"
"24","Infiniti"
"25","Isuzu"
"26","Jaguar"
"27","Jeep"
"28","Kia"
"29","Lamborghini"
"30","Land Rover"
"31","Lexus"
"32","Lincoln"
"33","London Taxi"
"34","Lotus"
"35","Mahindra"
"36","Maserati"
"37","Maybach"
"38","Mazda"
"39","McLaren Automotive"
"40","Mercedes-Benz"
"41","Mercury"
"42","MINI"
"43","Mitsubishi"
"44","Mobility Ventures LLC"
"45","Morgan"
"46","Nissan"
"47","Oldsmobile"
"48","Plymouth"
"49","Pontiac"
"50","Porsche"
"51","Quantum Technologies"
"52","Qvale"
"53","Ram"
"54","Rolls-Royce"
"55","Roush Performance"
"56","Saab"
"57","Saleen Performance"
"58","Saturn"
"59","Scion"
"60","Shelby"
"61","smart"
"62","Spyker"
"63","SRT"
"64","Subaru"
"65","Suzuki"
"66","Tecstar, LP"
"67","Toyota"
"68","Vector"
"69","Volkswagen"
"70","Volvo"
"71","VPG"
